	Sample_000	Sample_001	Sample_002	Sample_003	Sample_004	Sample_005	Sample_006	Sample_007	Sample_008	Sample_009	Sample_010	Sample_011	Sample_012	Sample_013	Sample_014	Sample_015	Sample_016	Sample_017	Sample_018	Sample_019	Sample_020	Sample_021	Sample_022	Sample_023	Sample_024	Sample_025	Sample_026	Sample_027	Sample_028	Sample_029	Sample_030	Sample_031	Sample_032	Sample_033	Sample_034	Sample_035	Sample_036	Sample_037	Sample_038	Sample_039	Sample_040	Sample_041	Sample_042	Sample_043	Sample_044	Sample_045	Sample_046	Sample_047	Sample_048	Sample_049	Sample_050	Sample_051	Sample_052	Sample_053	Sample_054	Sample_055	Sample_056	Sample_057	Sample_058	Sample_059	Sample_060	Sample_061	Sample_062	Sample_063	Sample_064	Sample_065	Sample_066	Sample_067	Sample_068	Sample_069	Sample_070	Sample_071	Sample_072	Sample_073	Sample_074	Sample_075	Sample_076	Sample_077	Sample_078	Sample_079	Sample_080	Sample_081	Sample_082	Sample_083	Sample_084	Sample_085	Sample_086	Sample_087	Sample_088	Sample_089	Sample_090	Sample_091	Sample_092	Sample_093	Sample_094	Sample_095	Sample_096	Sample_097	Sample_098	Sample_099
ALB	26.14471269250004	15.016198784932303	23.966675651620417	28.380110722534162	33.802840737549595	16.415063079770757	30.37977937137458	13.165115911183337	16.80109088358523	20.967484985975265	25.807231737289765	18.75310214590322	33.844679892529584	17.202955779169844	26.130027874599048	28.301343675307816	23.327951753369927	41.66628021284805	23.878795130288786	25.633955183499445	12.137896308279302	28.128920009280083	14.442247270013244	36.16110447358893	25.567876092979674	23.752613788641494	25.84099690946563	20.766471600398436	12.762135061082375	14.147688958662208	21.466030237600023	13.221677143115535	19.990492417890685	17.602513294703428	15.92377006214873	21.239328458643122	24.095000276610005	16.057225508334223	21.188515606174594	31.687985263998993	18.188457049161983	27.091692746811283	45.34746199183397	36.066651037138335	26.115723370004794	32.82091682947368	19.643368550282226	12.539854048956007	39.47678905193451	24.433182013198916	33.743311669662646	14.11552071496925	19.59959020853786	35.595333701412855	45.40532664141748	25.038264522097567	24.333523418996663	26.557563788649986	41.740497920938054	11.937138914321153	32.16486577829638	9.087053306666183	21.630244263747834	15.80691714770308	20.733818834193947	14.53773307008782	19.41049720992565	16.418846678407963	8.889490125758236	38.539790349286754	32.055907278993914	28.72426735362861	19.650668144214276	56.80559239204478	23.793846181591427	22.996237276718574	24.535527610203054	57.13743586850043	26.653106927771155	20.440148657607242	15.691105601345878	21.269818831222185	35.99655757372715	21.091775602976973	33.23866880016988	28.978984183754267	14.038315193283037	16.038002371196395	25.917604763919492	21.73369812668429	25.73416505902366	21.158058486451296	18.148958108972366	19.335163568866502	34.7683907319197	29.087019734310687	21.59496840895663	28.800744465327195	51.074793633355924	21.0271982297036
AFP	26.608409155303235	9.206696217809826	36.64278353528633	21.85954771785556	25.193500266793862	33.80340648530963	42.24715708322143	35.36601281928711	14.862226492688258	44.85451387083698	21.06429328484394	22.631646550144687	59.056995507008594	27.621719137838177	13.04763377792853	22.944325709722996	13.562219001792116	19.05943710654111	29.380380850488994	30.560864276945086	35.66447729157324	28.798801369212452	19.624269488899042	13.19355729594789	35.78041583531629	29.776794813466555	59.74866297800615	24.138894340941594	35.04484500141745	14.477383693187988	26.79371716139411	51.05959047720415	13.649200672219283	39.132035667230674	29.426944413685256	24.097531301860254	24.800744475481437	29.854237320062033	19.555210560224317	29.411439069349072	12.617033769573764	13.635549153765043	50.87843526011346	8.109375248182735	29.139739643118684	17.943746990808904	33.121835973151114	23.367090837296182	25.52272409971249	36.68158826226094	22.098487107608786	37.162861376242034	25.967295852863153	14.457808912860854	23.137350542340236	45.496297574311015	32.83460672027167	41.27126026251655	3.2188628299907442	11.457764376212216	19.8340296018296	24.272209182930247	14.550392135086195	20.475564306067216	22.683900397284347	15.878997200533297	22.760685559360834	47.11329355218977	25.992167231722018	10.033791694197937	24.49821762915679	29.98082518440337	29.329551861634318	25.80890527580019	27.149007095409843	30.72366954587719	25.533338510248257	22.700871241148903	29.550190562318367	22.31065283927896	21.953798156074132	26.20377009460933	33.400614367479015	32.344575583125135	14.149995881234842	28.16493855648186	10.154247313734068	34.586043061800076	21.646813322454285	18.524609244434046	26.503060403962778	29.78314956578873	26.030432507211046	21.15699846043064	40.36634295477505	38.79130341419661	30.4648294979091	38.013693151422	51.39230053508861	21.085154506441754
APOA1	13519.455266158004	14541.63909327601	16968.701736669926	15130.900327690999	24693.040837254495	39597.612550727434	21448.61045653691	8134.246554159993	8822.191080061057	17822.397406293487	25158.69368754924	8532.258511948747	15138.37514530196	11697.501624505767	10265.003840503972	21068.657031070816	16676.113156472762	14123.62062879674	10201.603588463797	17703.35338944057	20825.9283613728	11433.397294416347	14752.689091040642	15486.342905036798	13728.679718078105	13736.084709705958	20279.560538617756	24888.296711624305	28951.138774489336	31089.64788706136	22378.742482868325	18721.446684731836	22530.617504862494	17467.654974829384	14311.237338729208	21183.285236478445	16558.92613517681	16937.769915573313	15930.760074963127	30014.05299619985	10421.792888936407	12209.615977897742	21208.30248709046	13008.112564784213	12118.623828749736	16097.957004931499	31622.718922612206	12699.348304422325	18340.732515166084	10165.372020143339	15480.849718530244	17339.991548091635	9453.952584408768	16721.030783812792	8415.541148865042	15528.710916367529	22495.982197923437	12671.468984804016	14360.691405710997	9542.29609417586	27072.419376340036	6565.496981431593	20250.478023761912	15263.777804679761	16703.43708850206	18736.47094374887	11980.48147453689	14292.941873435482	12684.51241232632	7974.919689510923	12632.766134541283	13234.841687379658	21263.126413638416	7125.2658427346605	12005.25287337817	10835.785447802707	13256.244113204973	15776.622745944229	20079.647945178556	13348.388562552773	11819.392915759903	17349.815632153906	16622.386131850504	17777.303258014737	15742.554779312179	8077.55117043856	14446.32464331446	12061.01002071697	21934.04732302055	14918.404766496837	16580.291299231525	11197.086935290314	20140.58696311539	22111.649785993428	12927.887372308634	14806.783605763507	15330.120289941047	18358.685441597157	21370.43427962595	24433.989286784683
APOB	2004.8637107319198	1385.8230085886898	669.3915213269277	758.8476577554105	1272.5818946882284	1072.6886557149626	876.7132239590048	1390.7558419482455	435.5222593128744	792.1973164597708	667.8806271565571	1306.1734750743578	1409.2385704008193	870.7275295476319	1178.752289541274	779.4595151874981	1148.5255637637654	905.3402765444888	1552.296383519847	887.4567753506315	983.4048897994371	1102.481655690249	612.3601173070736	711.1298285398375	717.5211534272618	624.6523087965754	722.0829078135451	744.9065736640622	437.396185938573	979.4905904194743	1931.4478540569621	1321.8053495070549	803.7199838252282	1275.88697677292	344.07095782165595	1180.0170742697921	922.3000984843869	791.1093452221629	738.5833545507851	830.9689790268187	1042.2990043098453	626.5559530742718	810.7624553660698	1082.7910914421063	1645.3620421381388	813.0997620085761	1179.646644019443	970.4509172407214	1105.8210338455822	676.0935939721032	799.6864580219113	1305.6044913686394	1382.4961158524718	503.25288505707874	1396.0073303243278	556.7724067223264	846.3336147575735	1741.8333396700284	1225.9491810928187	816.2115636255207	702.4654379182318	1226.362625006513	630.3037570035584	1240.035016422361	1739.1889551726301	1628.3016433863756	330.3722808735351	1189.5138818288804	1128.925727394488	1179.6213437885376	1158.7333562829535	1248.2759296072488	1089.7000637358306	1622.4800580140413	931.9712812988123	1159.3273952058546	979.9760835074586	1185.3331870542595	716.1096364885765	959.8402865132941	604.8758919590346	866.6612849544292	967.005381245055	1271.3317572411731	1396.352875335985	648.27078992697	650.7895934623887	494.8617380318773	685.4504920894489	947.1889839018964	927.8776496020652	1777.039307648032	885.2252946694546	1061.6965108850934	980.4143003669171	1158.6163445007464	632.9585751511752	1028.717181010829	964.3713449692668	2231.907031036497
APOC3	1859.065038770753	2171.0436014653915	1685.2088139797697	3436.052220900723	1548.5993968733073	1898.6787680324596	2009.630236286096	3468.2897068820857	2431.50137678634	2503.1968834134436	1397.3096997820921	1860.9844067897027	2254.4813780111003	1297.9993210140233	2287.0651828634104	3312.0542455712357	2471.2105352433155	2954.773742282205	1621.4112502967632	4612.741579987133	1518.7424422701497	2978.7434959999373	2419.1367965764507	1992.1996592291978	1741.443237517089	2440.1064601724597	2137.4659525153197	3525.4413109187976	3510.31227654681	2462.272732885467	1455.4986030231282	2335.9305103448223	3041.737920034114	1446.0274162147234	3515.5942581202967	2959.6958262636813	1472.0771467208422	1590.1911207063085	1933.6607990431794	2817.2574141175855	2487.695293788385	4112.526986889652	3589.088705063733	3754.0575031261656	2217.901740579164	2780.8519743114584	3040.0632848358155	1984.9620705497618	2860.8669756052345	1157.989644203828	2299.415805468457	2422.4920392854533	2518.849367708597	1686.060461010524	3197.8483016707783	1933.5057967912855	2308.0890973425385	2441.887314326206	995.9162273180909	3788.688478027151	1931.5083351360352	1815.8925971362407	2257.2718711886287	1879.7742910799468	1770.6293703618644	1454.8686732015908	3173.3207619679733	3109.132579560522	2651.1811125263525	1777.9914971193496	2152.534742035234	1737.68132002839	2240.6591941580673	1296.8659307490811	1150.535210414003	2543.7218189072933	2094.803052872113	2201.522780869137	2100.288415262941	1803.110891770271	3072.7244073563193	2195.577831185884	1993.0211591676393	2105.093541610477	1046.4459846245675	2394.825786133852	2461.295966673502	1426.0549443950028	1442.4555204596386	2584.851471771662	2765.7636331531385	1920.1490244260508	2044.849490359722	2316.518303484915	1683.1839046620503	3317.16801528095	1950.934650457578	4250.251957813554	3656.6872403870375	1900.2252372607247
APOE	174.77492323174914	149.6248694053644	349.89631710565953	221.02422030363124	267.0059808370318	138.1113349886138	85.21852912198338	136.45931148824025	146.01713655230137	298.88367218231724	389.8584377723279	229.9806880931885	162.8083673970507	74.08731008417466	196.72185114592938	238.490607883189	219.6174853307831	207.01560177997422	144.31565176787487	76.3603150574782	146.09364849219315	163.54132367154287	182.58951451335372	244.4308498246193	113.77132817709621	158.82008447875137	309.3582117902988	268.5198783372442	98.98136605634342	256.9032472776484	335.24191564244495	222.02827105415074	143.69494750520545	299.7754849291	106.41497556029786	178.417889959353	161.02120602185886	186.7786261462639	173.76337762053518	214.567306696649	179.29962264458277	362.7172678339672	263.9792551608106	135.11872313078285	142.54672235674948	230.79856975370475	109.18932495230112	232.08779973660566	186.09068443580102	447.37788828307225	199.54368216845944	228.22689433085694	166.8974217330656	246.25915663642851	219.17508314009862	267.1821456116627	232.0119599061471	141.25222936145744	162.32560410568314	264.5646294151014	259.8248421671273	247.6228947634861	187.85433967423802	386.33675920626456	171.59898694589978	289.0488938527941	211.95467732332835	184.63198455592754	134.65874246192897	188.92422875173327	175.08678589380327	243.2268146679567	141.42009508086153	205.3734470599529	330.8556889424588	134.48483000599646	245.61852034808004	163.9869732805367	193.20568021116753	284.0641128133779	115.36080518524619	272.90027369153876	190.25758719015363	308.66358279039656	319.72595919373794	199.7611207746994	343.53292222322517	171.0065232650639	234.63368321033983	383.91754317357254	253.61960587260666	318.99545026296977	114.58302894312075	147.4636450538339	277.1701794484094	226.76214962242304	296.7076767799066	181.5896870878599	238.65645967904177	148.72232135828364
CYP3A4	201.63097954569974	286.199704418044	279.9182559977623	206.235489347534	401.80726032894603	338.8893037446663	124.15060834778579	186.3562814200762	259.9347687337075	190.85450665252023	85.99521005381723	313.213175137753	254.72621928263834	197.22574772619683	190.71857806835717	252.1529528872343	335.43897246801447	209.2445119481562	441.21811491996	155.66922721100153	205.76488631831194	359.8364575018888	254.8782587399247	221.7227365871598	252.27479872398925	209.2553819220253	247.58855146672556	319.1573813323408	157.14714142509735	219.09849421114941	162.39274000593286	204.08955767689437	320.82701165269395	261.4657336189754	362.6315601703148	250.05960137507554	175.01140985065948	168.22590847411567	220.46946193015955	327.1108391237378	162.24932990299868	267.772716486599	232.8686952388261	187.97889226307382	122.59592266503756	125.48451687132949	336.16454495176254	150.8468078462853	274.14527541030947	181.4380413159062	182.0721181940262	255.43010306965874	160.92438982421618	160.80280856435928	209.2501846446338	116.39091580640391	294.31437727147204	225.51915727451862	274.6131374849624	255.50317389180933	166.28804942553555	141.21163432421963	241.80679735295064	392.91111856873187	131.38172903502397	109.65601242835962	221.71895431143147	136.65653786670438	241.66436527078656	400.2210137325159	222.09382139414078	131.09842419625	171.9019114083633	211.67707127270006	411.84823899032045	186.36574241777774	252.14461918185776	281.62778563156223	189.4476088515967	215.13219952037772	240.97353500656814	68.32365086144293	159.94507613648423	280.21466756655553	74.5086411820595	198.71396361386596	202.80994905864333	297.30711616536007	261.43035263472706	261.150312533865	158.29008813143076	167.59718131803422	221.8972263230542	252.05459793812344	285.17718606278027	328.1848216688809	257.4494953697612	280.18949671382796	109.56016277627359	164.98107798025484
CYP2E1	47.86367940482371	27.202680452820253	35.094613304713924	44.34919078335128	48.59404466611542	26.185332683731065	31.07403383962295	50.5918167620918	24.21184138384416	43.87567427712314	58.57638105352541	68.92240758587035	43.412364292393754	22.475623301101702	19.55135722668659	55.1173677725457	36.849060387795646	49.53203432133729	32.50400187722161	24.383575953778895	39.99823671824029	33.865005944569624	15.944051553324469	82.07275476789913	34.702216002902716	34.35057789190407	28.430917427605337	15.761011532839312	48.07988930734376	58.97013715203821	79.32073282374938	18.23513852873254	45.37974478286491	37.79946899951884	27.485471394643195	80.32612086506764	43.57542743616062	37.10906021418262	32.26434554534787	15.296129385196092	41.274766096421025	30.3388440973261	25.605965672339867	44.780090396566685	19.205974407210498	46.073220725439036	21.299771505694412	61.70675703823728	35.69069713045606	86.79508558101223	29.88845832673027	16.988639877994522	46.391844261001104	25.47058931886647	30.428675524857077	32.13950633811763	37.605711438907655	54.63946098772552	54.81094760689768	36.300130543610095	22.393775408791655	39.640338393780915	45.534957698559715	53.87833388212782	41.717805763525135	35.306037953147275	59.64472196548204	38.897921554289134	60.01600791017829	57.94931976242512	27.01724437438716	33.86728975345173	45.346386574587534	46.32262414357429	44.27893304140729	47.01729119773434	80.3546690611087	46.18769582042304	24.85561410374103	38.555953812734835	23.657789673241552	74.98050205147553	38.316464276856784	39.94619611740064	29.520669515961846	38.44361062821329	27.133693626690366	35.088427489831616	43.87001083570198	22.643948948008457	24.779202802969294	39.94745568226026	72.72872890495142	20.8401348768632	52.93671855147517	40.3493655081759	66.2809432871974	71.62054299460421	81.87400577780706	61.11865178810254
G6PC	7.419628344034881	6.128937452302932	3.784930167522623	7.8383542321904285	1.2677977276169878	3.9893235139357923	4.922438069197988	6.74927220522411	3.587937546614562	11.590899952689679	2.2905292723828157	8.97260370164751	9.023695050548385	5.188362877317424	6.697569364518106	8.056712522257651	4.2188566700241905	2.7497060777878284	4.166061593739484	5.939553007240963	4.055319246719964	3.388260671794656	3.215338048537144	8.797409820217107	6.111608026919457	7.239891397693194	3.024956915016454	6.640031298032596	2.5885899395452854	7.011709578662038	7.5305735763924115	6.560474663551697	0.0	3.654786037166804	2.6982439305753108	5.821414456187142	9.11754095176775	5.552247492721316	4.0154014582539235	15.498013956233136	9.463967735803369	2.228325772865898	2.768536473914554	4.824557613185501	3.369964411181626	10.927339501212776	7.481529977597138	8.257770125678888	7.366644048091075	11.9083324364798	3.0933603941876457	3.05321375127434	1.8365432499933845	8.623128544169646	5.552509219425805	9.662349270406851	1.94546439368398	3.0255366171893447	6.997197800715371	7.976559085425385	4.319757343448176	8.229014431730285	2.129246826231543	4.456125366001043	11.143567174304506	2.985695059427632	3.5826568838081316	1.70113073849972	6.998264118213787	8.88028030742392	14.042753911793088	7.629635117913223	0.0	6.722121949144015	12.783579396967571	1.0429132861522294	9.543464629351156	2.0229057591573163	14.087346864993856	6.575634278394789	12.029842180819555	4.426966781212959	5.327985732479821	2.798013264460013	7.873061195616598	10.834492720704601	2.337260714840573	2.903914616170118	2.0845757693506664	1.9971320580053684	4.1137967143578065	4.275443221476012	4.775983070283145	4.327521510294905	2.3461703091739947	5.0801582143934985	12.467410554016563	5.631371241573819	8.179829522185727	3.2634443806015594
PCK1	57.43239954356012	85.94848895048894	110.96710693700817	157.40078735360183	94.4729734463881	55.56456258336798	142.25163934900792	91.64259543540616	116.96160904732864	113.76398773520799	111.52421133014754	65.42881505524245	81.56975868170522	180.32431833310636	98.80025114815743	68.05882120570064	104.65798191141994	65.28600415042993	121.93683226790401	87.55871794721153	64.68981586354303	77.88699644712405	123.5462087172722	42.119705732415646	83.89137515936426	65.22176100382056	123.38838952660082	124.82615958345013	76.46103686370475	79.1625623140313	109.9907220152872	70.56175692798242	107.16775269616214	63.65523887622724	71.28995296578798	103.39618203796853	37.41302376239891	75.53621439523674	207.1213280970963	108.77184241017788	58.177989817684924	78.83429195710524	67.48074668110466	72.83151563860501	97.09962726080998	121.23463067459957	76.38452017367058	75.89769294514905	112.0102761303153	71.62360177508805	99.95929240110762	91.56027812010234	101.14948792699828	79.33630569689437	148.185995527339	71.14861026922242	45.83754410884684	65.18108993497181	113.42971207514988	74.2735938980685	67.35872222512386	124.697854625211	128.92459874709238	41.95369442412027	66.05763560210544	132.10349028840753	52.55065341914553	63.7614298378663	58.42433185809026	93.11292355530624	33.23690077486472	94.37645712474355	100.74631791188298	105.27020336020993	55.79949231733994	106.51308422950494	104.42684021140272	89.62551620106008	116.08658728214753	38.09761707790156	114.02231818129594	137.20185009546444	89.89270727898453	76.2848107119043	75.1509303620128	112.48476294637166	70.29728892788923	112.19876741693798	72.45598546963475	133.35739763735515	126.99520583889033	136.28460441253316	131.6332684969306	68.20428786146529	124.29567025140156	84.46750688461283	61.61413361557019	118.08091961594951	51.804995720012634	133.27511876621406
